s.no,num1,num2,num3,num4,num5,num6
435,99,20,25,67,36,31
436,47,98,95,89,38,69
437,97,70,31,12,11,46
438,50,8,80,40,94,58
439,76,88,23,25,88,60
440,97,45,75,36,24,80
441,9,38,36,86,96,34
442,40,36,20,100,48,82
443,55,81,30,60,37,66
444,88,48,21,96,26,48
445,32,91,71,65,51,90
446,36,90,79,6,66,40
447,94,14,68,67,8,53
448,44,60,5,90,94,77
449,85,15,40,99,46,2
450,93,95,37,43,17,55
451,10,10,37,22,20,83
452,29,3,7,16,55,52
453,73,12,97,88,70,19
454,12,64,33,65,34,38
455,2,29,14,54,57,9
456,95,69,78,79,70,40
457,30,87,36,8,9,88
458,28,53,84,82,38,60
459,88,85,73,32,78,33
460,65,40,4,96,31,96
461,20,36,68,74,18,91
462,73,3,5,79,95,12
463,93,4,21,44,27,92
464,80,90,27,5,79,9
465,92,5,3,66,70,75
466,54,72,16,19,98,1
467,76,26,6,47,68,50
468,54,26,34,55,22,8
469,72,96,92,39,60,14
470,15,12,75,66,53,19
471,86,23,94,89,2,36
472,47,14,60,22,89,24
473,17,9,44,27,25,24
474,62,51,98,19,21,44
475,27,87,6,11,61,5
476,59,17,59,99,54,70
477,64,34,17,100,78,31
478,27,61,15,68,54,82
479,86,15,13,26,50,9
480,62,86,54,86,49,24
481,17,80,48,64,69,8
482,58,75,58,93,38,46
483,85,65,32,79,92,54
484,40,34,52,68,87,71
485,75,60,84,55,18,76
486,24,66,89,76,22,69
487,93,83,65,20,26,3
488,54,12,93,87,33,94
489,98,1,89,56,77,20
490,9,88,96,6,17,58
491,20,29,60,86,14,83
492,70,50,43,70,46,72
493,56,6,73,35,58,84
494,8,47,12,6,11,99
495,87,74,99,37,44,63
496,26,98,6,23,21,65
497,12,17,95,6,90,98
498,42,19,2,45,42,48
499,82,13,71,19,94,9
500,6,5,8,76,14,99
501,37,43,60,61,75,6
502,20,40,62,84,51,27
503,41,77,65,99,46,33
504,1,91,73,19,100,26
505,100,74,72,50,55,30
506,46,14,13,69,67,71
507,90,42,76,43,70,5
508,42,57,28,7,41,70
509,86,92,28,6,46,76
510,2,91,25,87,30,56
511,24,13,42,50,49,99
512,73,24,31,47,12,71
513,44,51,86,26,43,64
514,56,86,35,87,67,95
515,22,96,70,21,60,78
516,88,96,12,28,42,67
517,13,83,63,39,88,66
518,21,74,74,63,37,19
519,39,100,84,83,92,1
520,21,98,33,98,15,37
