s.no,num1,num2,num3,num4,num5,num6
349,56,50,72,20,23,77
350,97,64,38,22,84,57
351,79,47,5,94,2,74
352,60,28,28,56,91,26
353,92,88,68,47,7,79
354,5,98,61,50,24,47
355,91,98,80,84,69,16
356,41,64,21,29,81,89
357,73,91,10,32,23,33
358,45,37,98,42,71,58
359,10,93,26,5,45,4
360,30,41,33,35,92,93
361,79,73,18,58,84,3
362,18,16,62,36,92,25
363,29,82,1,66,72,18
364,21,12,4,22,89,36
365,34,66,61,42,32,24
366,66,37,67,68,72,78
367,81,6,19,18,35,15
368,19,33,4,7,40,71
369,9,76,72,56,58,26
370,26,28,53,100,46,52
371,84,45,77,42,18,41
372,52,67,87,41,34,2
373,46,100,50,48,55,91
374,9,52,66,1,90,74
375,62,31,17,82,8,85
376,3,85,57,57,42,83
377,99,56,72,45,47,56
378,59,94,96,75,52,97
379,37,60,53,33,21,58
380,36,53,65,18,99,92
381,26,33,55,18,45,77
382,26,40,99,53,92,25
383,41,37,13,93,89,80
384,24,59,97,7,72,95
385,66,87,82,45,48,60
386,36,75,76,65,6,70
387,44,16,43,19,80,19
388,89,61,23,40,30,13
389,88,50,65,77,1,48
390,31,69,62,15,94,33
391,67,96,15,25,45,71
392,3,91,72,76,23,29
393,1,32,48,68,19,91
394,100,44,28,14,73,23
395,34,10,6,48,5,9
396,97,66,90,8,68,42
397,11,46,51,18,58,17
398,18,89,18,56,16,18
399,31,16,51,1,63,88
400,2,68,50,72,10,67
401,60,8,39,58,89,83
402,70,44,13,55,54,20
403,40,40,74,23,9,73
404,78,22,96,17,10,12
405,94,2,21,32,90,66
406,96,7,18,40,81,40
407,7,41,95,14,29,13
408,7,4,77,72,28,77
409,82,80,20,51,94,45
410,98,81,22,29,82,14
411,61,20,55,72,32,67
412,58,14,38,2,23,91
413,38,33,24,47,95,98
414,74,46,5,98,9,8
415,63,54,52,5,22,73
416,66,16,34,54,43,100
417,95,5,37,36,14,18
418,65,52,59,96,82,87
419,88,35,15,50,60,94
420,88,91,78,8,90,39
421,31,88,56,60,33,20
422,1,33,66,97,33,79
423,4,67,89,20,26,46
424,63,29,62,93,52,54
425,89,60,100,84,52,28
426,34,6,4,73,45,15
427,42,21,18,48,37,65
428,17,88,53,54,97,18
429,4,53,65,70,73,90
430,54,9,95,33,37,16
431,23,39,5,40,95,38
432,31,17,67,93,1,25
433,43,76,16,100,48,92
434,20,56,63,62,56,82
