s.no,num1,num2,num3,num4,num5,num6
693,20,9,96,71,30,17
694,74,95,92,14,22,64
695,63,5,4,84,28,38
696,61,94,79,63,85,9
697,2,39,10,83,53,37
698,18,95,70,23,56,37
699,43,97,26,30,57,39
700,61,82,23,41,19,74
701,24,78,20,66,89,54
702,92,16,2,22,20,95
703,57,57,5,71,55,20
704,9,48,24,55,25,36
705,86,52,49,2,89,9
706,96,21,68,36,91,27
707,31,63,64,96,38,37
708,4,24,78,12,16,63
709,80,40,3,93,86,28
710,38,75,68,19,17,82
711,72,70,6,32,7,10
712,99,36,94,76,63,6
713,42,6,31,83,71,66
714,35,55,89,12,98,73
715,12,41,46,33,97,32
716,60,41,95,50,8,83
717,57,73,40,56,20,77
718,33,1,75,52,19,11
719,23,90,11,83,84,21
720,84,39,15,26,81,57
721,45,22,60,55,77,56
722,47,73,65,47,57,39
723,18,18,74,44,57,71
724,47,26,63,59,86,29
725,91,19,31,39,89,41
726,32,5,34,64,38,99
727,22,25,6,59,100,52
728,58,16,64,85,22,67
729,12,1,13,46,94,59
730,76,84,46,28,96,90
731,31,3,92,92,66,85
732,32,55,28,87,17,39
733,67,24,46,50,67,99
734,70,32,59,79,34,57
735,99,67,58,85,38,37
736,51,29,73,37,79,49
737,8,44,91,54,29,31
738,17,85,63,32,99,10
739,7,11,45,24,73,16
740,67,68,74,83,47,81
741,77,95,81,65,9,58
742,25,86,12,12,32,98
743,64,23,65,43,47,65
744,7,24,97,90,22,33
745,65,54,77,92,87,69
746,17,27,11,31,62,80
747,74,35,42,40,34,24
748,67,43,72,59,19,26
749,60,62,37,64,97,50
750,43,11,98,38,73,85
751,22,41,46,6,75,46
752,14,58,89,24,100,7
753,24,90,2,8,76,68
754,92,34,44,98,66,72
755,91,22,68,89,53,74
756,5,40,52,25,16,35
757,59,51,7,55,57,17
758,57,6,60,33,34,2
759,60,48,92,64,23,80
760,3,83,93,43,71,42
761,89,37,4,57,50,29
762,96,22,60,80,68,35
763,44,74,1,58,57,17
764,92,52,19,23,89,5
765,72,72,2,86,31,68
766,6,96,47,87,1,47
767,61,87,80,65,40,98
768,8,62,85,5,91,9
769,54,100,56,63,32,32
770,50,27,80,49,20,17
771,3,90,97,8,10,81
772,85,18,84,11,49,88
773,34,75,44,38,29,44
774,31,13,92,90,61,81
775,76,88,78,34,60,23
776,96,21,90,14,76,93
777,36,42,57,67,21,86
778,41,79,32,25,9,45
