s.no,num1,num2,num3,num4,num5,num6
177,46,95,85,57,86,16
178,72,56,47,51,65,92
179,75,19,2,12,80,100
180,69,72,47,96,43,14
181,93,30,17,25,40,43
182,75,45,97,38,83,37
183,22,21,87,60,74,11
184,23,27,3,25,7,90
185,6,26,65,48,55,63
186,52,81,3,16,99,49
187,64,2,71,81,41,75
188,36,46,65,9,3,37
189,29,46,100,71,43,36
190,82,31,21,38,80,98
191,43,35,59,81,72,93
192,6,80,94,18,85,40
193,26,26,65,63,82,80
194,84,30,14,21,48,5
195,98,39,33,13,37,32
196,22,15,48,10,47,79
197,7,93,81,78,46,12
198,9,49,6,50,38,21
199,1,57,11,5,99,74
200,11,63,86,99,55,79
201,70,46,15,41,75,52
202,86,68,16,94,91,13
203,36,36,82,26,5,34
204,70,18,24,73,96,21
205,45,32,44,64,46,63
206,78,49,74,32,79,82
207,39,19,31,3,6,92
208,58,58,59,40,93,5
209,17,68,22,97,99,68
210,93,56,86,13,49,91
211,40,57,31,45,33,54
212,38,49,38,69,72,77
213,79,33,98,97,1,46
214,100,38,32,75,20,8
215,10,6,5,89,69,46
216,97,93,49,14,41,29
217,73,94,34,50,70,39
218,36,43,50,87,72,29
219,15,45,4,13,16,88
220,47,35,8,46,31,55
221,92,11,40,14,19,93
222,84,82,58,1,92,45
223,95,71,74,60,15,24
224,86,86,13,3,94,12
225,71,88,50,46,91,12
226,88,43,85,32,66,10
227,40,89,85,36,6,40
228,7,43,73,12,70,60
229,94,95,44,30,21,100
230,32,28,30,40,23,45
231,88,49,56,48,77,55
232,89,88,67,28,45,4
233,89,95,56,85,94,87
234,28,64,22,77,65,77
235,40,36,45,68,86,72
236,27,6,59,28,23,21
237,95,87,31,8,56,29
238,63,39,63,86,60,1
239,94,31,63,34,33,54
240,26,55,13,100,96,45
241,51,87,34,95,52,53
242,30,77,99,100,70,60
243,41,14,53,18,45,5
244,40,72,36,90,25,25
245,85,24,30,72,29,55
246,12,5,9,66,21,67
247,84,57,50,51,56,91
248,24,52,71,32,7,81
249,23,33,98,53,27,4
250,14,10,45,92,58,35
251,5,6,64,99,17,24
252,38,42,7,43,81,30
253,49,76,10,99,60,77
254,42,80,77,91,99,59
255,77,20,92,54,81,28
256,12,70,18,55,51,26
257,61,46,32,84,30,85
258,66,64,18,33,60,16
259,69,65,39,66,24,27
260,50,8,21,86,7,39
261,77,85,33,87,34,52
262,46,38,40,57,32,16
