s.no,num1,num2,num3,num4,num5,num6
521,3,21,61,48,50,53
522,39,2,17,19,21,47
523,20,67,66,43,6,97
524,2,47,31,18,92,48
525,82,20,14,55,70,54
526,76,57,50,68,21,34
527,85,23,11,65,25,69
528,50,74,36,80,27,95
529,74,15,85,1,27,31
530,30,37,30,37,6,5
531,10,31,83,29,25,3
532,98,98,21,4,2,32
533,99,59,33,81,23,48
534,87,26,95,50,61,34
535,89,2,3,65,39,7
536,46,27,29,22,88,17
537,92,33,58,57,3,28
538,52,81,90,34,100,55
539,68,65,28,27,43,44
540,62,16,98,41,60,92
541,21,16,41,47,78,9
542,3,65,19,96,62,79
543,26,22,45,38,68,44
544,66,79,38,71,65,58
545,52,20,58,73,95,28
546,34,5,81,56,64,92
547,16,30,68,62,85,91
548,69,48,87,73,75,46
549,3,100,95,64,90,93
550,29,35,74,21,54,86
551,5,95,40,67,60,45
552,30,63,83,11,32,92
553,18,55,23,48,18,56
554,89,21,18,90,14,27
555,15,57,95,81,73,28
556,83,65,51,98,84,15
557,31,71,69,56,66,18
558,70,25,3,42,73,48
559,24,96,4,98,34,77
560,34,74,96,65,20,59
561,18,21,34,42,46,3
562,51,21,30,14,5,76
563,37,66,10,49,75,70
564,18,48,91,32,21,42
565,40,20,22,4,95,82
566,39,37,16,53,77,46
567,85,26,2,25,30,98
568,74,20,69,74,55,50
569,72,98,12,75,75,74
570,87,57,46,77,81,9
571,13,34,8,37,65,37
572,42,95,43,41,93,48
573,20,56,52,47,55,2
574,29,72,83,10,99,30
575,3,1,38,89,13,20
576,23,98,72,51,11,34
577,62,98,63,93,64,72
578,12,74,100,94,21,96
579,56,32,24,62,79,93
580,92,19,11,21,18,70
581,95,12,44,55,16,95
582,4,99,82,47,23,84
583,86,46,3,35,12,45
584,57,92,42,50,26,8
585,5,73,18,40,46,76
586,90,87,31,4,31,13
587,55,96,84,85,31,30
588,61,88,44,43,97,82
589,79,39,60,63,53,86
590,64,49,20,14,15,72
591,3,23,57,83,1,60
592,16,38,59,25,50,19
593,15,15,15,75,85,58
594,68,97,39,24,30,77
595,7,41,28,32,54,90
596,50,20,37,100,6,23
597,60,54,68,82,53,30
598,26,88,78,52,92,42
599,84,65,10,38,13,64
600,96,62,6,82,84,77
601,63,95,31,65,58,17
602,8,74,69,37,42,34
603,32,19,82,61,95,22
604,21,39,90,23,93,100
605,18,26,12,67,100,100
606,71,79,22,70,68,24
