s.no,num1,num2,num3,num4,num5,num6
263,1,6,64,89,86,40
264,16,54,60,93,4,37
265,24,72,81,83,93,49
266,74,5,14,90,44,32
267,4,48,14,33,60,47
268,2,100,69,26,45,36
269,46,75,51,39,71,26
270,76,9,9,99,4,42
271,75,29,42,58,64,98
272,95,84,96,25,59,48
273,93,3,44,37,54,78
274,40,50,47,73,44,96
275,65,9,65,10,30,32
276,66,50,13,90,18,95
277,90,4,3,75,12,64
278,94,78,64,69,51,62
279,94,77,63,72,35,59
280,58,100,16,18,17,10
281,27,7,14,48,96,4
282,67,89,50,85,76,42
283,63,88,47,11,23,1
284,65,46,15,50,74,93
285,73,91,90,47,49,7
286,37,89,94,34,49,73
287,36,18,69,28,6,89
288,70,67,66,17,93,29
289,39,97,11,8,99,87
290,69,96,88,68,13,44
291,87,92,8,84,69,87
292,91,49,98,25,88,72
293,89,10,65,70,93,75
294,22,94,4,82,32,37
295,37,25,29,56,50,55
296,56,40,94,92,22,6
297,14,98,7,74,34,78
298,26,63,56,40,55,47
299,46,59,17,88,66,99
300,63,38,13,54,16,78
301,78,34,27,56,3,100
302,56,28,71,87,35,57
303,68,14,75,49,89,95
304,10,49,43,41,2,3
305,56,46,5,25,62,60
306,75,10,52,27,56,3
307,86,55,41,64,4,29
308,3,35,53,97,61,96
309,90,93,94,12,87,43
310,38,31,52,24,66,23
311,92,19,60,83,83,86
312,81,10,62,15,84,5
313,25,77,98,86,46,76
314,70,77,14,61,63,24
315,11,45,81,71,19,98
316,14,98,31,19,10,11
317,21,40,70,53,9,83
318,96,35,88,15,30,10
319,81,20,17,93,97,75
320,12,79,69,8,36,27
321,68,87,98,75,63,4
322,49,17,4,40,2,72
323,95,58,1,70,38,79
324,31,69,95,89,7,26
325,6,20,100,87,95,49
326,11,49,42,80,52,11
327,97,64,30,77,63,40
328,56,4,46,36,61,41
329,76,19,21,67,99,19
330,41,60,81,83,88,6
331,24,71,47,3,14,44
332,98,34,95,13,29,74
333,24,86,33,58,55,2
334,50,24,31,17,79,27
335,37,10,98,17,66,55
336,87,4,18,26,60,12
337,20,34,77,42,98,35
338,25,62,30,26,68,81
339,67,28,100,65,77,84
340,31,65,81,80,91,5
341,1,88,41,88,76,66
342,44,73,5,96,91,70
343,31,3,69,6,64,19
344,13,23,77,35,15,83
345,22,13,91,33,69,34
346,17,36,34,26,56,14
347,36,4,68,63,86,89
348,25,73,17,4,1,45
