s.no,num1,num2,num3,num4,num5,num6
1,26,93,67,88,98,35
2,69,51,1,35,86,74
3,32,64,60,94,81,78
4,43,33,30,45,89,27
5,81,50,87,50,97,69
6,51,16,77,31,47,32
7,35,8,33,77,34,45
8,13,45,63,78,26,64
9,82,64,99,46,22,52
10,43,51,96,4,64,73
11,58,89,74,7,88,66
12,68,59,81,24,77,53
13,11,35,60,11,36,80
14,82,57,96,15,87,21
15,44,71,97,83,54,49
16,11,72,10,25,46,13
17,75,98,6,56,34,40
18,7,43,23,47,100,46
19,9,24,60,88,2,7
20,37,12,92,71,37,17
21,62,42,72,69,47,19
22,72,5,31,49,45,86
23,58,82,81,6,93,65
24,1,77,26,67,96,37
25,44,39,32,41,69,94
26,6,91,31,11,87,53
27,81,48,45,80,34,26
28,75,3,31,57,99,89
29,89,35,11,67,94,58
30,15,44,37,1,17,78
31,63,36,20,94,79,39
32,57,94,54,91,17,47
33,53,39,21,78,64,21
34,23,22,16,21,43,95
35,75,9,43,5,13,94
36,74,1,51,76,45,57
37,19,5,38,8,79,79
38,6,9,47,97,79,71
39,20,11,76,27,51,14
40,69,6,70,42,49,18
41,41,65,51,90,2,85
42,33,44,84,15,73,98
43,79,47,88,94,85,37
44,74,12,26,5,47,95
45,73,5,40,60,41,46
46,88,17,58,94,87,71
47,72,75,94,6,23,14
48,85,60,49,80,2,32
49,79,99,83,75,83,77
50,37,45,27,90,61,84
51,45,82,88,55,29,84
52,90,11,20,18,62,16
53,56,69,60,71,85,67
54,85,20,77,92,55,20
55,44,76,83,72,63,52
56,58,26,77,15,72,1
57,83,7,9,46,75,34
58,42,99,19,5,63,67
59,99,85,30,82,42,97
60,84,25,43,42,56,43
61,25,78,77,14,10,32
62,86,42,58,98,83,45
63,35,63,81,12,74,22
64,26,31,34,59,61,40
65,81,98,87,31,69,16
66,37,29,85,29,97,51
67,43,47,27,45,80,64
68,78,87,91,77,47,22
69,22,80,12,31,7,19
70,17,51,81,45,76,70
71,7,71,48,2,1,30
72,3,84,8,22,47,36
73,15,31,98,81,54,29
74,41,91,97,54,8,94
75,20,73,100,6,65,29
76,89,52,5,23,26,50
77,28,73,55,86,61,10
78,59,5,76,72,90,42
79,62,69,9,8,55,71
80,63,85,54,94,67,29
81,56,96,96,90,42,99
82,67,81,16,57,94,98
83,21,96,10,88,19,42
84,75,62,84,33,4,38
85,83,84,56,97,31,67
86,63,37,80,13,79,69
87,33,8,29,19,6,40
88,45,85,84,92,19,13
89,43,77,91,97,41,66
90,60,5,64,26,99,28
