s.no,num1,num2,num3,num4,num5,num6
607,38,86,17,51,94,43
608,39,56,43,23,40,23
609,77,66,49,17,84,16
610,64,87,27,75,81,72
611,60,25,81,32,63,24
612,64,40,60,34,88,16
613,14,1,84,31,75,43
614,74,32,10,58,35,94
615,72,68,66,58,38,58
616,85,14,59,14,49,84
617,93,55,26,25,64,38
618,30,11,51,90,20,96
619,32,42,72,10,16,60
620,87,25,100,31,22,83
621,67,21,97,11,55,56
622,22,24,21,97,39,13
623,67,52,49,94,84,18
624,24,18,69,32,78,11
625,90,94,24,67,35,93
626,33,66,66,35,54,36
627,66,10,90,1,24,53
628,7,63,66,75,20,54
629,17,68,34,70,82,1
630,70,24,99,11,19,4
631,3,76,54,5,100,85
632,94,59,86,91,20,83
633,38,72,65,3,39,60
634,38,36,69,35,70,44
635,85,92,84,68,48,75
636,99,28,95,80,19,30
637,99,54,15,19,10,11
638,68,10,4,28,74,34
639,46,100,54,62,28,2
640,19,97,23,84,23,11
641,17,44,83,52,87,51
642,92,64,21,81,66,10
643,40,70,85,94,38,5
644,63,78,75,45,69,63
645,21,98,86,58,16,13
646,93,68,62,30,4,11
647,76,6,35,46,82,92
648,15,48,63,33,83,59
649,86,10,43,1,20,40
650,13,84,99,69,37,19
651,39,78,75,37,3,32
652,97,22,49,54,60,60
653,74,24,37,23,100,58
654,16,7,79,45,79,54
655,80,9,77,72,3,3
656,90,33,28,19,87,35
657,81,4,92,14,68,64
658,5,9,12,27,36,72
659,90,26,17,55,76,60
660,98,19,61,30,35,96
661,78,87,5,86,82,9
662,63,19,24,19,39,17
663,57,98,17,35,43,13
664,100,96,76,84,28,94
665,68,28,75,19,65,1
666,100,5,56,84,39,88
667,32,23,37,64,95,52
668,21,78,43,64,35,63
669,42,13,58,67,12,4
670,5,62,16,29,89,78
671,75,41,98,52,24,7
672,29,91,67,38,95,16
673,36,1,49,26,55,77
674,19,45,27,74,51,83
675,95,61,41,81,61,18
676,2,64,11,70,56,28
677,74,4,11,48,77,55
678,19,78,97,88,45,16
679,79,89,59,54,40,32
680,14,48,17,11,66,8
681,37,22,53,28,33,28
682,39,92,74,50,10,76
683,37,76,93,39,93,78
684,5,57,62,62,29,35
685,44,9,24,6,67,86
686,60,50,79,90,100,17
687,93,23,94,55,34,43
688,43,83,90,22,8,12
689,88,74,4,83,43,71
690,92,74,49,41,76,100
691,31,74,79,58,56,23
692,24,46,93,10,10,73
